127.0.0.1, 2014-05-18 16:04:15, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2014-05-18 16:04:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.942000
127.0.0.1, 2014-05-18 16:04:16, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:04:16, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:04:16, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:04:17, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:17:32, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2014-05-18 16:17:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.086000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.094000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:35, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:36, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-05-18 16:18:40, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:40, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-05-18 16:18:40, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-05-18 16:18:40, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-05-18 16:18:45, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2014-05-18 16:18:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-05-18 16:18:48, GET, /admin/default/index, HTTP/1.1, 200, 0.094000
127.0.0.1, 2014-05-18 16:18:48, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:49, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:51, POST, /admin/default/index, HTTP/1.1, 303, 0.082000
127.0.0.1, 2014-05-18 16:18:51, GET, /admin/default/site, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-05-18 16:18:52, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:52, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:52, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:18:52, POST, /admin/default/check_version, HTTP/1.1, 200, 0.721000
127.0.0.1, 2014-05-18 16:21:53, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.086000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:21:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:56, GET, /admin/default/index, HTTP/1.1, 200, 0.089000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-18 16:21:57, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:21:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-05-18 16:22:01, POST, /admin/default/index, HTTP/1.1, 303, 0.070000
127.0.0.1, 2014-05-18 16:22:01, GET, /admin/default/site, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-05-18 16:22:01, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:22:01, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:22:01, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:22:02, POST, /admin/default/check_version, HTTP/1.1, 200, 0.380000
127.0.0.1, 2014-05-18 16:22:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-05-18 16:22:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-05-18 16:22:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-05-18 16:22:19, POST, /admin/default/site, HTTP/1.1, 303, 0.112000
127.0.0.1, 2014-05-18 16:22:20, GET, /admin/default/design/hello_world, HTTP/1.1, 200, 0.122000
127.0.0.1, 2014-05-18 16:22:20, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:22:20, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:22:20, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-18 16:22:20, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-18 16:22:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-05-18 16:24:40, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2014-05-18 16:24:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.035000
127.0.0.1, 2014-05-24 16:20:41, GET, /, HTTP/1.1, 303, 0.849000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.376000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.015000
0.013000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000

127.0.0.1, 2014-05-24 16:20:42, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/default/index, HTTP/1.1, 200, 0.496000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.011000
 200, 0.008000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:24, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.026000
127.0.0.1, 2014-05-24 16:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-05-24 16:21:26, POST, /admin/default/index, HTTP/1.1, 303, 0.078000
127.0.0.1, 2014-05-24 16:21:26, GET, /admin/default/site, HTTP/1.1, 200, 0.122000
127.0.0.1, 2014-05-24 16:21:26, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.023000
127.0.0.1, 2014-05-24 16:21:26, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.023000
127.0.0.1, 2014-05-24 16:21:26, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:26, POST, /admin/default/check_version, HTTP/1.1, 200, 0.377000
127.0.0.1, 2014-05-24 16:21:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-05-24 16:21:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-05-24 16:21:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/default/index, HTTP/1.1, 200, 1.087000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-05-24 16:21:35, GET, /hello_world/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-05-24 16:21:38, GET, /admin/default/site, HTTP/1.1, 200, 0.049000
127.0.0.1, 2014-05-24 16:21:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-05-24 16:21:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
